qbname;cpera;yard;int;long;sack;loss;home;points
A.J. FeeleyA. Feeley;0,557742782;171,037037;1,148148148;53;1,62962963;10,22222222;0,481481481;18,88888889
A.J. McCarronA. McCarron;0,663865546;142,3333333;0,333333333;47;2;10,5;0,5;25,5
Aaron BrooksA. Brooks;0,564630442;225,1222222;1,022222222;66;2,611111111;16,15555556;0,5;20,64444444
Aaron RodgersA. Rodgers;0,651492377;261,1843972;0,510638298;73;2,418439716;15,34042553;0,496453901;27,41134752
Akili SmithA. Smith;0,46637744;105,3333333;0,619047619;46;2,80952381;15,57142857;0,523809524;11,19047619
Alex SmithA. Smith;0,617332035;197,4893617;0,645390071;75;2,503546099;14,15602837;0,482269504;21,63829787
Alex Van PeltA. Van Pelt;0,549019608;110,7307692;0,923076923;51;0,730769231;4,346153846;0,5;16,19230769
Andrew LuckA. Luck;0,592229347;272,5428571;0,971428571;80;2,228571429;14,14285714;0,5;25,24285714
Andrew WalterA. Walter;0,522522523;127,9333333;1,066666667;51;3,4;19,66666667;0,533333333;9,8
Andy DaltonA. Dalton;0,62745098;238,8602151;0,870967742;84;1,946236559;11,58064516;0,505376344;23,75268817
Anthony WrightA. Wright;0,548760331;132,962963;0,925925926;64;2,037037037;14,59259259;0,555555556;18,74074074
Austin DavisA. Davis;0,624338624;212,3333333;1;43;3,333333333;22,91666667;0,583333333;17,08333333
Ben RoethlisbergerB. Roethlisberger;0,641267701;253,0486486;0,864864865;83;2,464864865;16,25945946;0,497297297;23,82162162
Billy Joe HobertB. Hobert;0,516778523;134,8095238;1;51;1,333333333;8,761904762;0,333333333;16,42857143
Billy Joe TolliverB. Tolliver;0,536878216;167,5;0,875;57;1,833333333;14,33333333;0,625;16,875
Billy VolekB. Volek;0,600713012;129,4482759;0,517241379;50;1,689655172;11,03448276;0,482758621;23,51724138
Blaine GabbertB. Gabbert;0,55954323;170,9534884;0,860465116;62;2,558139535;16,97674419;0,488372093;15,79069767
Blake BortlesB. Bortles;0,587924971;244,3695652;1,108695652;67;3,043478261;18,73913043;0,52173913;19,91304348
Bobby HebertB. Hebert;0,602459016;225,1428571;1,785714286;57;1,928571429;10,71428571;0,5;20,42857143
Bobby HoyingB. Hoying;0,535087719;133,8947368;0,789473684;56;3,368421053;19,89473684;0,578947368;16,42105263
Boomer EsiasonB. Esiason;0,586666667;221,8235294;0,941176471;61;1,411764706;8,941176471;0,470588235;21,94117647
Brad JohnsonB. Johnson;0,616270868;210,5294118;0,882352941;72;1,823529412;11,71323529;0,514705882;20,92647059
Brady QuinnB. Quinn;0,538181818;126,7916667;0,708333333;57;1,708333333;9,833333333;0,541666667;14,08333333
Brandon WeedenB. Weeden;0,579274611;195,8181818;0,909090909;67;2;13,6969697;0,575757576;20,27272727
Brett FavreB. Favre;0,618255169;240,212766;1,123404255;74;1,655319149;11,09787234;0,506382979;24,56170213
Brian BrohmB. Brohm;0,519230769;126;2,5;33;2,5;6,5;0;5
